WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Leh,IN,34.1667,77.5833,18.54,49,37,2.82,scattered clouds
98,Pecos,US,31.4229,-103.4932,53.31,48,1,0.0,clear sky
99,Juan Lacaze,UY,-34.4342,-57.4381,67.23,50,0,11.81,clear sky
100,Clearlake,US,38.9582,-122.6264,48.52,66,7,4.36,clear sky
101,San Quintin,MX,30.4833,-115.95,63.66,83,97,9.82,overcast clouds
102,East London,ZA,-33.0153,27.9116,67.14,59,20,25.32,few clouds
103,Kailua,US,21.4022,-157.7394,75.18,73,90,6.91,overcast clouds
104,Kodiak,US,57.79,-152.4072,11.71,57,40,12.66,scattered clouds
105,New Norfolk,AU,-42.7826,147.0587,60.91,67,100,2.17,light rain
106,Talnakh,RU,69.4865,88.3972,7.79,94,99,9.82,overcast clouds
107,Faanui,PF,-16.4833,-151.75,79.77,73,100,3.09,overcast clouds
108,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,20.59,67,49,8.93,scattered clouds
109,Verkhoyansk,RU,67.5447,133.385,-32.73,99,96,1.79,overcast clouds
110,Geraldton,AU,-28.7667,114.6,66.61,77,0,14.97,clear sky
111,Alice Springs,AU,-23.7,133.8833,67.55,88,90,5.75,overcast clouds
112,Newport,GB,51.5877,-2.9984,50.99,82,64,2.06,broken clouds
113,Lashio,MM,22.9333,97.75,60.1,98,17,1.92,few clouds
114,Smithers,CA,54.7804,-127.1743,28.72,80,90,5.75,overcast clouds
115,Hithadhoo,MV,-0.6,73.0833,82.26,75,100,18.25,overcast clouds
116,Namibe,AO,-15.1961,12.1522,81.23,65,20,13.8,few clouds
117,Denpasar,ID,-8.65,115.2167,76.71,94,75,3.44,thunderstorm
118,Namatanai,PG,-3.6667,152.4333,79.45,83,46,8.08,light rain
119,Thompson,CA,55.7435,-97.8558,1.56,78,90,6.91,light snow
120,Axim,GH,4.8699,-2.2405,84.31,69,26,7.47,light rain
121,Uige,AO,-7.6087,15.0613,87.82,48,75,6.91,light rain
122,Naryan-Mar,RU,67.6713,53.087,15.46,94,98,11.74,overcast clouds
123,Asau,RO,46.4333,26.4,41.76,96,100,1.03,overcast clouds
124,Ruteng,ID,-8.6136,120.4721,64.15,93,87,0.22,overcast clouds
