City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Ust-Kuyga,RU,2021-11-20 01:53:53,70.0167,135.6,-18.58,100,93,2.71
273,Rovaniemi,FI,2021-11-20 01:57:16,66.5,25.7167,17.01,92,20,10.36
274,Bonthe,SL,2021-11-20 01:57:16,7.5264,-12.505,79.45,84,14,4.76
275,Valentin Gomez Farias,MX,2021-11-20 01:57:16,28.2167,-106.5833,54.19,60,4,3.29
276,Padang,ID,2021-11-20 01:57:17,-0.9492,100.3543,82.45,67,100,2.37
277,San Cristobal,VE,2021-11-20 01:57:17,7.7669,-72.225,69.98,84,63,1.43
278,Maguilling,PH,2021-11-20 01:57:17,17.7582,121.4849,83.55,63,44,6.85
279,Severnyy,RU,2021-11-20 01:57:18,50.677,36.5532,35.64,93,90,11.18
280,Moose Factory,CA,2021-11-20 01:57:18,51.2585,-80.6094,17.6,79,1,8.05
281,Parit Buntar,MY,2021-11-20 01:57:18,5.1267,100.4932,84.18,85,95,2.13
282,Dzilam Gonzalez,MX,2021-11-20 01:57:19,21.2833,-88.9333,75.88,83,90,7.49
283,Codrington,AU,2021-11-20 01:57:19,-38.2667,141.9667,58.59,50,13,10.54
284,Ishigaki,JP,2021-11-20 01:57:19,24.3448,124.1572,78.93,73,40,17.27
285,Otjiwarongo,NA,2021-11-20 01:57:20,-20.4637,16.6477,68.14,19,13,8.05
286,Spencer,US,2021-11-20 01:57:20,43.1414,-95.1444,40.68,64,100,13.82
287,Moron,AR,2021-11-20 01:53:57,-34.6534,-58.6198,71.02,77,0,5.01
288,Mingaora,PK,2021-11-20 01:54:00,34.7758,72.3625,50.09,27,0,7.16
289,Isangel,VU,2021-11-20 01:57:21,-19.55,169.2667,80.71,83,75,0.0
290,Luanda,AO,2021-11-20 01:55:09,-8.8368,13.2343,78.8,83,75,6.91
291,Ahipara,NZ,2021-11-20 01:57:21,-35.1667,173.1667,69.66,58,100,3.47
292,Suntar,RU,2021-11-20 01:57:21,62.1444,117.6319,-3.44,95,100,2.73
